name,value
01/03/2005,0.8
01/06/2005,1.3
01/09/2005,1
01/12/2005,1.3
01/03/2006,0.4
01/06/2006,0.3
01/09/2006,0.2
01/12/2006,0.8
01/03/2007,1
01/06/2007,1.3
01/09/2007,1.2
01/12/2007,0.1
01/03/2008,0.1
01/06/2008,-0.9
01/09/2008,-1.4
01/12/2008,-2.1
01/03/2009,-2.5
01/06/2009,-0.4
01/09/2009,0
01/12/2009,0.4
01/03/2010,0.5
01/06/2010,1
01/09/2010,0.4
01/12/2010,-0.2
01/03/2011,0.5
01/06/2011,0.1
01/09/2011,0.6
01/12/2011,-0.1
01/03/2012,0
01/06/2012,-0.4
01/09/2012,0.8
01/12/2012,-0.2
01/03/2013,0.5
01/06/2013,0.7
01/09/2013,0.8
01/12/2013,0.7
01/03/2014,0.8
