Year,Quarter,Quarterly % Change
01/03/2005,1,0.8
01/06/2005,2,1.3
01/09/2005,3,1
01/12/2005,4,1.3
01/03/2006,1,0.4
01/06/2006,2,0.3
01/09/2006,3,0.2
01/12/2006,4,0.8
01/03/2007,1,1
01/06/2007,2,1.3
01/09/2007,3,1.2
01/12/2007,4,0.1
01/03/2008,1,0.1
01/06/2008,2,-0.9
01/09/2008,3,-1.4
01/12/2008,4,-2.1
01/03/2009,1,-2.5
01/06/2009,2,-0.4
01/09/2009,3,0
01/12/2009,4,0.4
01/03/2010,1,0.5
01/06/2010,2,1
01/09/2010,3,0.4
01/12/2010,4,-0.2
01/03/2011,1,0.5
01/06/2011,2,0.1
01/09/2011,3,0.6
01/12/2011,4,-0.1
01/03/2012,1,0
01/06/2012,2,-0.4
01/09/2012,3,0.8
01/12/2012,4,-0.2
01/03/2013,1,0.5
01/06/2013,2,0.7
01/09/2013,3,0.8
01/12/2013,4,0.7
01/03/2014,1,0.8
